Place,Jumper,Country,Jump1,Jump2,Points,Event_id
1,PASCHKE Pius,Niemcy,131.5,138.5,317.1,1
2,TSCHOFENIG Daniel ,Austria,132.5,132.5,309.2,1
3,ORTNER Maximilian,Austria,132,131.5,307.1,1
4,KRAFT Stefan,Austria,133,130,306,1
5,HOERL Jan,Austria,128.5,130,300.9,1
6,LANISEK Anze,Słowenia,130,127,296,1
7,SUNDAL Kristoffer Eriksen,Norwegia,134.5,126.5,295.6,1
8,DESCHWANDEN Gregor,Szwajcaria,127,125,293.2,1
9,FORFANG Johann Andre,Norwegia,123.5,133,292.6,1
10,FRANTZ Tate,USA,135.5,124.5,292.2,1
11,GRANERUD Halvor Egner,Norwegia,138,126.5,290.7,1
12,WELLINGER Andreas,Niemcy,118.5,136,285.9,1
12,FETTNER Manuel,Austria,129,122,285.9,1
14,WĄSEK Paweł,Polska,128.5,132,285.3,1
15,HAYBOECK Michael,Austria,130,123.5,284.7,1
16,KOBAYASHI Ryoyu,Japonia,121,134.5,283.5,1
17,GEIGER Karl,Niemcy,127,122.5,283.2,1
18,LINDVIK Marius,Norwegia,131,120.5,282.8,1
19,VILLUMSTAD Fredrik,Norwegia,123.5,130,281.3,1
20,AIGRO Artti,Estonia,133,126,281.2,1
21,EMBACHER Stephan,Austria,130.5,121.5,280.1,1
22,RAIMUND Philipp,Niemcy,125,124.5,276.5,1
23,ZNISZCZOŁ Aleksander,Polska,121.5,131.5,276.2,1
24,EISENBICHLER Markus,Niemcy,118.5,129,275.3,1
25,NIKAIDO Ren,Japonia,129,125,274.8,1
26,KUBACKI Dawid,Polska,123,128,274.1,1
27,LEYHE Stephan,Niemcy,125,131.5,273.5,1
28,TITTEL Adrian,Niemcy,124,128,272.4,1
29,PEDERSEN Robin,Norwegia,125.5,121.5,271.9,1
30,IPCIOGLU Fatih Arda,Turcja,120.5,124.5,256.4,1
31,ZOGRAFSKI Władimir,Bułgaria,124,0,123.9,1
32,BICKNER Kevin,USA,117.5,0,123.2,1
33,JOHANSSON Robert,Norwegia,123.5,0,123.1,1
34,MOGEL Zak,Słowenia,121,0,122.8,1
35,STOCH Kamil,Polska,122,0,121.1,1
36,JOERGENSEN Sindre Ulven,Norwegia,121,0,119.2,1
37,PEIER Killian,Szwajcaria,119,0,117.6,1
37,BELSHAW Erik,USA,119,0,117.6,1
39,KOBAYASHI Junshiro,Japonia,120,0,116.9,1
40,AALTO Antti,Finlandia,121.5,0,116.6,1
40,MARUSIAK Jewhen,Ukraina,121,0,116.6,1
42,KOT Maciej,Polska,114,0,115.3,1
43,NAKAMURA Naoki,Japonia,109,0,115.2,1
44,ZAJC Timi,Słowenia,112.5,0,114.8,1
45,TRUNZ Felix,Szwajcaria,114,0,113.2,1
46,AMMANN Simon,Szwajcaria,117,0,111.9,1
46,KOS Lovro,Słowenia,113,0,111.9,1
48,KOUDELKA Roman,Czechy,120,0,111.5,1
49,VALTO Kasperi ,Finlandia,105.5,0,99.4,1
50,KYTOSAHO Niko,Finlandia,110,0,90.2,1
1,HOERL Jan,Austria,137,139.5,285.3,2
2,PASCHKE Pius,Niemcy,136.5,136,277.8,2
3,TSCHOFENIG Daniel ,Austria,136.5,135,273.8,2
4,KRAFT Stefan,Austria,139,133.5,273.1,2
5,DESCHWANDEN Gregor,Szwajcaria,135,132,259.7,2
6,SUNDAL Kristoffer Eriksen,Norwegia,129,130,252.3,2
7,WELLINGER Andreas,Niemcy,130.5,131,251.7,2
8,ORTNER Maximilian,Austria,129.5,129,248.2,2
9,FETTNER Manuel,Austria,132.5,128,246.7,2
10,FRANTZ Tate,USA,131.5,124.5,246.5,2
11,LINDVIK Marius,Norwegia,128.5,125,244.5,2
12,GRANERUD Halvor Egner,Norwegia,129,125,239.8,2
13,GEIGER Karl,Niemcy,126,126.5,238.1,2
14,FORFANG Johann Andre,Norwegia,127,127,237.8,2
15,LANISEK Anze,Słowenia,127.5,120,237.7,2
16,ZAJC Timi,Słowenia,126,124.5,234,2
17,KOBAYASHI Ryoyu,Japonia,129,122.5,233.7,2
18,LEYHE Stephan,Niemcy,128,125,230.8,2
19,AIGRO Artti,Estonia,125,124.5,230.3,2
20,VILLUMSTAD Fredrik,Norwegia,123,121.5,226.9,2
21,FOUBERT Valentin,Francja,120.5,121.5,222.6,2
22,HAYBOECK Michael,Austria,129,118,219.1,2
23,WĄSEK Paweł,Polska,125.5,120,218.9,2
24,BICKNER Kevin,USA,120,125.5,217,2
25,ZNISZCZOŁ Aleksander,Polska,126.5,117,216.4,2
26,RAIMUND Philipp,Niemcy,121.5,121.5,213.5,2
27,EMBACHER Stephan,Austria,123,114.5,206.6,2
28,STOCH Kamil,Polska,118.5,119.5,205.5,2
29,ZOGRAFSKI Władimir,Bułgaria,117,117.5,201.1,2
30,AMMANN Simon,Szwajcaria,118,113.5,198.3,2
31,IPCIOGLU Fatih Arda,Turcja,117,0,96.2,2
32,EISENBICHLER Markus,Niemcy,114.5,0,95.1,2
33,KUBACKI Dawid,Polska,115,0,94.3,2
34,JOHANSSON Robert,Norwegia,114,0,94.2,2
35,TRUNZ Felix,Szwajcaria,114,0,92.7,2
36,MARUSIAK Jewhen,Ukraina,110,0,92.2,2
37,MOGEL Zak,Słowenia,112,0,89.4,2
38,KOBAYASHI Junshiro,Japonia,111,0,89.2,2
39,NIKAIDO Ren,Japonia,111,0,88.8,2
40,VALTO Kasperi ,Finlandia,111.5,0,87,2
41,KOUDELKA Roman,Czechy,109.5,0,85.7,2
42,URLAUB Andrew,USA,109.5,0,80.9,2
43,KOT Maciej,Polska,102.5,0,78.7,2
44,NAKAMURA Naoki,Japonia,106,0,77.1,2
45,MILESI Enzo,Francja,105.5,0,73,2
46,PEIER Killian,Szwajcaria,99,0,66.6,2
47,CECON Francesco,Włochy,95.5,0,63.9,2
48,KOS Lovro,Słowenia,96,0,62.1,2
49,AALTO Antti,Finlandia,97,0,61.3,2
DSQ,LARSON Casey,USA,0,0,0,2
1,PASCHKE Pius,Niemcy,143.5,143,326.6,3
2,HOERL Jan,Austria,138,141.5,317.7,3
3,KRAFT Stefan,Austria,135,147,315.2,3
4,SUNDAL Kristoffer Eriksen,Norwegia,138.5,140,309.7,3
5,WELLINGER Andreas,Niemcy,141,141,303,3
6,TSCHOFENIG Daniel ,Austria,134,140,299.6,3
7,ORTNER Maximilian,Austria,138.5,138,299.3,3
8,EISENBICHLER Markus,Niemcy,135,142,297,3
9,ZAJC Timi,Słowenia,121,146,296,3
10,LINDVIK Marius,Norwegia,137,144.5,294.5,3
11,DESCHWANDEN Gregor,Szwajcaria,134.5,140,292.7,3
12,HAYBOECK Michael,Austria,138,137,292,3
13,ZNISZCZOŁ Aleksander,Polska,135.5,135,290.6,3
14,NIKAIDO Ren,Japonia,133,136.5,284.7,3
15,PREVC Domen,Słowenia,135,137.5,281.8,3
16,KOBAYASHI Ryoyu,Japonia,130,142.5,278.5,3
17,FETTNER Manuel,Austria,137.5,130.5,278.1,3
18,LANISEK Anze,Słowenia,138,128,274.3,3
19,FORFANG Johann Andre,Norwegia,131.5,135,269.6,3
20,FOUBERT Valentin,Francja,130.5,131,264.5,3
21,FRANTZ Tate,USA,122.5,137.5,261.4,3
22,KOS Lovro,Słowenia,129.5,131.5,258.8,3
23,ZOGRAFSKI Władimir,Bułgaria,128.5,130,252,3
24,TITTEL Adrian,Niemcy,129,128,251.2,3
25,VILLUMSTAD Fredrik,Norwegia,121.5,136,250,3
26,GEIGER Karl,Niemcy,126,125.5,248,3
27,STOCH Kamil,Polska,133,120.5,247.3,3
28,COLBY Jason,USA,127.5,126.5,246.1,3
29,MOGEL Zak,Słowenia,123.5,125.5,234.6,3
30,NAKAMURA Naoki,Japonia,126.5,106.5,198.7,3
31,BEDIR Muhammed Ali,Turcja,118.5,0,111.8,3
32,LARSON Casey,USA,116,0,111.5,3
33,KUBACKI Dawid,Polska,119.5,0,110.4,3
34,ROMPPAINEN Paavo ,Finlandia,118.5,0,108.5,3
35,MAATTA Jarkko,Finlandia,120.5,0,104,3
36,AMMANN Simon,Szwajcaria,117.5,0,102.4,3
37,RAIMUND Philipp,Niemcy,115,0,93.8,3
38,WASILJEW Danił,Kazachstan,112,0,92.3,3
39,AALTO Antti,Finlandia,110.5,0,92,3
40,KOBAYASHI Junshiro,Japonia,114.5,0,91.5,3
41,INSAM Alex,Włochy,109.5,0,82,3
42,WOLNY Jakub,Polska,107,0,81.1,3
43,PALOSAARI Vilho ,Finlandia,108.5,0,80.6,3
44,EMBACHER Stephan,Austria,106,0,77.2,3
45,IPCIOGLU Fatih Arda,Turcja,101,0,64.9,3
46,SATO Keiichi,Japonia,94,0,63.7,3
47,CECON Francesco,Włochy,91,0,54.7,3
48,VALTO Kasperi ,Finlandia,89.5,0,44.3,3
49,AIGRO Artti,Estonia,75,0,26.7,3
50,WĄSEK Paweł,Polska,75.5,0,12.7,3
1,WELLINGER Andreas,Niemcy,146.5,0,143.4,4
2,KRAFT Stefan,Austria,145,0,138,4
3,GEIGER Karl,Niemcy,136.5,0,134.3,4
4,TSCHOFENIG Daniel ,Austria,140,0,129.9,4
5,AIGRO Artti,Estonia,136,0,128.1,4
6,DESCHWANDEN Gregor,Szwajcaria,139.5,0,126.1,4
7,PASCHKE Pius,Niemcy,144,0,126,4
8,NIKAIDO Ren,Japonia,134.5,0,125.3,4
9,LINDVIK Marius,Norwegia,137.5,0,124.4,4
10,KUBACKI Dawid,Polska,130.5,0,120.8,4
11,AALTO Antti,Finlandia,130.5,0,118.5,4
12,JOHANSSON Robert,Norwegia,128,0,117.3,4
13,KYTOSAHO Niko,Finlandia,130,0,117,4
14,STOCH Kamil,Polska,127.5,0,112.3,4
15,WĄSEK Paweł,Polska,124.5,0,111.6,4
16,ORTNER Maximilian,Austria,129.5,0,110.6,4
17,LANISEK Anze,Słowenia,131,0,109.4,4
18,WASILJEW Danił,Kazachstan,126.5,0,108.8,4
19,FETTNER Manuel,Austria,131,0,108.7,4
20,HOERL Jan,Austria,127.5,0,108,4
21,MOGEL Zak,Słowenia,123.5,0,106.8,4
22,NAKAMURA Naoki,Japonia,123,0,104.5,4
23,FOUBERT Valentin,Francja,121,0,98.1,4
24,KOBAYASHI Ryoyu,Japonia,118.5,0,96.7,4
25,MIZIERNYCH Ilja,Kazachstan,117,0,96.6,4
26,RAIMUND Philipp,Niemcy,114.5,0,93.7,4
27,SUNDAL Kristoffer Eriksen,Norwegia,125,0,93.5,4
28,ZOGRAFSKI Władimir,Bułgaria,112.5,0,89.4,4
29,EMBACHER Stephan,Austria,114,0,88.5,4
30,AMMANN Simon,Szwajcaria,115.5,0,86.5,4
31,LARSON Casey,USA,113,0,80.3,4
32,FRANTZ Tate,USA,118,0,79.7,4
33,TITTEL Adrian,Niemcy,107.5,0,75.9,4
34,VALTO Kasperi ,Finlandia,108,0,73.8,4
35,ZNISZCZOŁ Aleksander,Polska,104,0,70.8,4
36,PEIER Killian,Szwajcaria,108,0,70.4,4
37,SONG Qiwu,Chiny,107,0,69.4,4
38,TRUNZ Felix,Szwajcaria,104.5,0,64.4,4
39,ZAJC Timi,Słowenia,99.5,0,59.2,4
40,COLBY Jason,USA,98.5,0,50.8,4
41,FORFANG Johann Andre,Norwegia,96.5,0,48.6,4
42,BICKNER Kevin,USA,94.5,0,46.2,4
43,EISENBICHLER Markus,Niemcy,94.5,0,44,4
44,LEYHE Stephan,Niemcy,91,0,40.1,4
45,INSAM Alex,Włochy,90,0,39.1,4
46,PREVC Domen,Słowenia,80,0,20.2,4
47,KOS Lovro,Słowenia,79,0,19.6,4
48,GRANERUD Halvor Egner,Norwegia,71.5,0,1.5,4
49,HAYBOECK Michael,Austria,70,0,0,4
DSQ,VILLUMSTAD Fredrik,Norwegia,0,0,0,4
1,TSCHOFENIG Daniel ,Austria,132,135.5,276.8,5
2,DESCHWANDEN Gregor,Szwajcaria,126,131,275.4,5
3,PASCHKE Pius,Niemcy,127,127,273.9,5
4,HOERL Jan,Austria,124,129,271.3,5
5,SUNDAL Kristoffer Eriksen,Norwegia,129.5,131.5,270.5,5
6,GRANERUD Halvor Egner,Norwegia,128,127.5,265.8,5
7,KRAFT Stefan,Austria,123,127,265.5,5
8,GEIGER Karl,Niemcy,124.5,131,264.5,5
9,VILLUMSTAD Fredrik,Norwegia,125,130,264.4,5
10,NIKAIDO Ren,Japonia,128.5,119,262.5,5
11,WĄSEK Paweł,Polska,125.5,125,261.5,5
12,HAYBOECK Michael,Austria,125.5,129,261.2,5
13,FETTNER Manuel,Austria,127,128,260.6,5
14,RAIMUND Philipp,Niemcy,122.5,127,258.5,5
15,ORTNER Maximilian,Austria,119,129,256.7,5
16,ZNISZCZOŁ Aleksander,Polska,120.5,127.5,256.2,5
17,LINDVIK Marius,Norwegia,117.5,129,253.1,5
18,LEYHE Stephan,Niemcy,124.5,130,252.9,5
19,LANISEK Anze,Słowenia,122,126.5,252.7,5
20,ZAJC Timi,Słowenia,124,129,251.8,5
21,AIGRO Artti,Estonia,121,128.5,250.4,5
22,WELLINGER Andreas,Niemcy,122,127.5,249.7,5
23,KOBAYASHI Ryoyu,Japonia,118,120.5,247.2,5
24,FOUBERT Valentin,Francja,125.5,119,246.3,5
25,KUBACKI Dawid,Polska,122,125,244.5,5
26,WOLNY Jakub,Polska,116,121.5,239.6,5
27,ZOGRAFSKI Władimir,Bułgaria,125.5,124,239.1,5
28,EMBACHER Stephan,Austria,123,120,234.8,5
29,NAKAMURA Naoki,Japonia,119,116.5,234.7,5
30,KYTOSAHO Niko,Finlandia,120,119,232.3,5
31,AALTO Antti,Finlandia,118,0,114.8,5
32,JOHANSSON Robert,Norwegia,118.5,0,114.6,5
33,STOCH Kamil,Polska,120.5,0,114.5,5
34,KOT Maciej,Polska,119.5,0,112.2,5
35,ŻYŁA Piotr,Polska,119,0,111,5
36,FORFANG Johann Andre,Norwegia,115,0,109.7,5
37,WASILJEW Danił,Kazachstan,121.5,0,109,5
38,VALTO Kasperi ,Finlandia,115,0,108.6,5
39,PEIER Killian,Szwajcaria,119,0,108,5
40,EISENBICHLER Markus,Niemcy,115.5,0,107.2,5
41,LARSON Casey,USA,117.5,0,106,5
42,MARUSIAK Jewhen,Ukraina,111,0,104.9,5
43,TRUNZ Felix,Szwajcaria,115.5,0,104.7,5
44,KOUDELKA Roman,Czechy,117,0,104.1,5
45,KOBAYASHI Junshiro,Japonia,112,0,103.4,5
46,MOGEL Zak,Słowenia,105,0,97.8,5
47,AMMANN Simon,Szwajcaria,113,0,97,5
48,ROMPPAINEN Paavo ,Finlandia,112.5,0,95.9,5
49,MIZIERNYCH Ilja,Kazachstan,113,0,94.3,5
50,KOS Lovro,Słowenia,104.5,0,75.4,5
1,PASCHKE Pius,Niemcy,136,133.5,298.6,6
2,HOERL Jan,Austria,135,134,290.1,6
3,KRAFT Stefan,Austria,134,129,286.1,6
4,TSCHOFENIG Daniel ,Austria,132,131,285,6
5,ZAJC Timi,Słowenia,132,130.5,277.4,6
6,NIKAIDO Ren,Japonia,128.5,131.5,276.6,6
7,WELLINGER Andreas,Niemcy,131,131,275.8,6
8,DESCHWANDEN Gregor,Szwajcaria,132,131,273.9,6
8,SUNDAL Kristoffer Eriksen,Norwegia,128,130,273.9,6
10,LINDVIK Marius,Norwegia,130,130,271.5,6
11,WĄSEK Paweł,Polska,127,131,271.4,6
12,ZNISZCZOŁ Aleksander,Polska,128.5,131,271.2,6
13,KOBAYASHI Ryoyu,Japonia,128,131,267,6
14,GEIGER Karl,Niemcy,129,127.5,266.5,6
15,ORTNER Maximilian,Austria,126,132,266.1,6
16,HAYBOECK Michael,Austria,124.5,129,265.1,6
17,FETTNER Manuel,Austria,127.5,128,263.7,6
18,WOLNY Jakub,Polska,127.5,127,261.7,6
19,KUBACKI Dawid,Polska,125.5,124,260.5,6
20,PEIER Killian,Szwajcaria,127,124.5,258.7,6
20,LEYHE Stephan,Niemcy,125,128,258.7,6
22,VILLUMSTAD Fredrik,Norwegia,126.5,123,258.3,6
23,AIGRO Artti,Estonia,127,128,257.7,6
24,LANISEK Anze,Słowenia,123.5,126.5,256.7,6
25,STOCH Kamil,Polska,126,125.5,254.8,6
26,ŻYŁA Piotr,Polska,125,126.5,252.5,6
27,FORFANG Johann Andre,Norwegia,121.5,128,251.6,6
28,AALTO Antti,Finlandia,125,126.5,248.3,6
29,ZOGRAFSKI Władimir,Bułgaria,123.5,125,247.8,6
30,KYTOSAHO Niko,Finlandia,125,123,247.6,6
31,FOUBERT Valentin,Francja,122.5,0,124.3,6
32,GRANERUD Halvor Egner,Norwegia,121,0,123.7,6
33,FRANTZ Tate,USA,122,0,123.6,6
34,MARUSIAK Jewhen,Ukraina,124,0,121.9,6
35,RAIMUND Philipp,Niemcy,121,0,121.4,6
36,VALTO Kasperi ,Finlandia,123,0,120.8,6
37,INSAM Alex,Włochy,123,0,120.6,6
38,EISENBICHLER Markus,Niemcy,119.5,0,119,6
38,IPCIOGLU Fatih Arda,Turcja,123.5,0,119,6
40,TITTEL Adrian,Niemcy,121.5,0,115.6,6
41,AMMANN Simon,Szwajcaria,121,0,115,6
42,BICKNER Kevin,USA,121.5,0,114.7,6
43,KOT Maciej,Polska,119.5,0,113.7,6
44,NAKAMURA Naoki,Japonia,118,0,113.1,6
45,JOHANSSON Robert,Norwegia,119,0,112,6
46,EMBACHER Stephan,Austria,116.5,0,110,6
47,LARSON Casey,USA,117,0,109.4,6
48,KOBAYASHI Junshiro,Japonia,114,0,102.6,6
DSQ,PREVC Domen,Słowenia,0,0,0,6
DSQ,MIZIERNYCH Ilja,Kazachstan,0,0,0,6
1,PASCHKE Pius,Niemcy,144,138,294.1,7
2,DESCHWANDEN Gregor,Szwajcaria,142.5,136.5,287.7,7
3,TSCHOFENIG Daniel ,Austria,137.5,137,281.7,7
4,WELLINGER Andreas,Niemcy,140,134,280,7
5,ZAJC Timi,Słowenia,135.5,139,277.4,7
6,HOERL Jan,Austria,137,134,273.9,7
7,SUNDAL Kristoffer Eriksen,Norwegia,139,131,270.6,7
8,ORTNER Maximilian,Austria,132.5,137.5,270,7
9,ZNISZCZOŁ Aleksander,Polska,135,135,267,7
10,LANISEK Anze,Słowenia,133.5,131,265.7,7
11,KRAFT Stefan,Austria,135,132,265.6,7
12,HAYBOECK Michael,Austria,133,132,263.9,7
13,LINDVIK Marius,Norwegia,131.5,135.5,263.4,7
14,GEIGER Karl,Niemcy,133.5,134,263.3,7
15,WĄSEK Paweł,Polska,132.5,132,263,7
16,PEIER Killian,Szwajcaria,132,130,262.5,7
17,KOBAYASHI Ryoyu,Japonia,134,133.5,261.3,7
18,FORFANG Johann Andre,Norwegia,134,131,259.5,7
19,GRANERUD Halvor Egner,Norwegia,136,127,258.6,7
20,IPCIOGLU Fatih Arda,Turcja,132,134.5,250,7
21,EISENBICHLER Markus,Niemcy,128,133.5,249.3,7
22,WOLNY Jakub,Polska,131,130.5,246.5,7
23,FETTNER Manuel,Austria,127.5,138,245.9,7
24,STOCH Kamil,Polska,127,135,244.9,7
25,LEYHE Stephan,Niemcy,132.5,119,238.4,7
26,MARUSIAK Jewhen,Ukraina,129,125,234.3,7
27,FRANTZ Tate,USA,127,125,233.5,7
28,SATO Keiichi,Japonia,123,128,227.8,7
29,ZOGRAFSKI Władimir,Bułgaria,127.5,125,227.3,7
30,TITTEL Adrian,Niemcy,129,119,226.2,7
31,BELSHAW Erik,USA,125,0,111.3,7
32,NAKAMURA Naoki,Japonia,121,0,110.8,7
33,BICKNER Kevin,USA,126.5,0,110.1,7
34,RAIMUND Philipp,Niemcy,125,0,109.6,7
35,MIZIERNYCH Ilja,Kazachstan,125.5,0,109.3,7
36,NIKAIDO Ren,Japonia,121.5,0,107.6,7
37,KUBACKI Dawid,Polska,119.5,0,106.8,7
38,VALTO Kasperi ,Finlandia,118.5,0,106.5,7
39,AALTO Antti,Finlandia,122,0,105.9,7
40,WASILJEW Danił,Kazachstan,122,0,105.1,7
41,KYTOSAHO Niko,Finlandia,120,0,102.8,7
42,VILLUMSTAD Fredrik,Norwegia,120,0,100.4,7
43,AMMANN Simon,Szwajcaria,121,0,100,7
44,PREVC Domen,Słowenia,129.5,0,97.2,7
45,BEDIR Muhammed Ali,Turcja,117.5,0,94.6,7
46,FOUBERT Valentin,Francja,116,0,93.9,7
47,LARSON Casey,USA,110,0,86.4,7
48,URLAUB Andrew,USA,110,0,84.8,7
49,TRUNZ Felix,Szwajcaria,113,0,83.2,7
DSQ,AIGRO Artti,Estonia,0,0,0,7
1,PASCHKE Pius,Niemcy,141.5,142,290.4,8
2,HAYBOECK Michael,Austria,145,143,290,8
3,SUNDAL Kristoffer Eriksen,Norwegia,143,140,284.7,8
4,LANISEK Anze,Słowenia,139,142.5,284.3,8
5,HOERL Jan,Austria,135,143,277.9,8
6,FETTNER Manuel,Austria,138,145,277.7,8
7,LINDVIK Marius,Norwegia,141.5,138.5,276.4,8
8,WOLNY Jakub,Polska,138.5,140.5,274.3,8
9,KRAFT Stefan,Austria,140,136,274.1,8
10,DESCHWANDEN Gregor,Szwajcaria,136,138.5,272.9,8
11,FORFANG Johann Andre,Norwegia,138.5,138,269.7,8
12,MARUSIAK Jewhen,Ukraina,137.5,139,268.3,8
13,EISENBICHLER Markus,Niemcy,137,138,267.6,8
14,WELLINGER Andreas,Niemcy,130,136,264.5,8
15,TSCHOFENIG Daniel ,Austria,135,134.5,260.9,8
16,KOBAYASHI Ryoyu,Japonia,132.5,136,258.5,8
17,GEIGER Karl,Niemcy,132.5,135.5,258,8
18,NIKAIDO Ren,Japonia,139,130.5,254,8
19,ZNISZCZOŁ Aleksander,Polska,137.5,129,252.1,8
20,GRANERUD Halvor Egner,Norwegia,129,139.5,251.6,8
21,ORTNER Maximilian,Austria,135,129.5,250.8,8
22,PREVC Domen,Słowenia,129.5,134,243,8
23,FOUBERT Valentin,Francja,126,131,238.7,8
24,VILLUMSTAD Fredrik,Norwegia,129.5,132,237.6,8
25,STOCH Kamil,Polska,132,127,236.5,8
26,FRANTZ Tate,USA,133.5,123,232.1,8
27,ZAJC Timi,Słowenia,135,119.5,230.6,8
28,AALTO Antti,Finlandia,129.5,123.5,229.3,8
29,JOHANSSON Robert,Norwegia,128.5,117,221.2,8
30,RAIMUND Philipp,Niemcy,126,121,220.1,8
31,LEYHE Stephan,Niemcy,130,0,115.9,8
32,PEIER Killian,Szwajcaria,126.5,0,114.2,8
